Image_ID,Title,Author,Medium,Date,Location,Provenance,Theme,Category,Classification,Descriptors,Symbols,Features,Scene,Face_position,Objects,Gestures,Physiognomy,Physiognomy_Image,Donor,Inscription,Dimensions (Px),Mode (RGB/L/CMYK),File_Size (KB),Mean_Contrast,Afro_Presence,VLM_Detection,Accepted_Tokens,Bias_Deviation,Link,Image_source,
19838,Santos negros,João Batista de Figueiredo,Temple madera,1780–1790,"Igreja Nossa Senhora do Rosário, Mariana, Brasil",Mariana,Santos sin identificar,Devoción,"Santos, Santos Masculinos, Santos de órdenes y tradiciones, Santos sin identificar",Negro - negritud,Niños,"Edad: adulto, Escena: simple, Género masculino, Personaje individual, Personajes: sagrados",Terrestre / interior templo,Rostro 3/4,No,"Personaje principal: No, Personaje secundario: No, Otros personajes: No",De pie,Cuerpo medio,Sin donante,Ninguna,354x267,RGB,35.2,66.58,,,,,https://arca.uniandes.edu.co/obras/19838,"Oliveira Paiva, Eduardo França, Amantino, Marcia, Ivo, Isnara Pereira. Escravidão, mestiçagens, ambientes, paisagens e espaços. São Paulo: Annablume, 2011.",
17621,Pedro Claver,Anónimo,Óleo sobre tela,1700–1799,"Iglesia san Ignacio de Loyola, Bogotá, Colombia",Bogotá,Historia de venerables,Historia,"Santos, Venerables y beatos, Historia de venerables","Evangelización, Habitación, Hábito, Indígenas, Negro - negritud, Vida ejemplar / venerable","Cruz / crucifijo, Devoción, Escalera","Edad: adulto, Edad: niñez, Escena: simple, Género masculino, Personaje colectivo, Personaje: contacto corporal, Personaje: desnudo parcial / total, Personajes: sagrados y profanos, Presencia: niños",Terrestre / interior casa-habitación,Rostro 3/4,No,"Personaje principal: Compuesto: señala arriba - indica con la otra, Personaje secundario: No, Otros personajes: No",De pie,Cuerpo entero,Sin donante,Ninguna,1435x2080,RGB,796.94,46.4,,,,,https://arca.uniandes.edu.co/obras/17621,"LOPEZ, Mercedes. Desde Roma por sevilla al Nuevo Reino de Granada. La compañia de jesus en tiempos coloniales. Bogotá: Museo de Arte colonial, 2004.",
22068,San Isidro Inquisidor,Anónimo,Óleo sobre tela,1600–1699,"Iglesia Santuario de Guápulo, Quito, Ecuador",Quito,Santos dominicos,Retrato,"Santos, Santos Masculinos, Santos de órdenes y tradiciones, Santos dominicos, Santos varios dominicos","Negro - negritud, Retrato simple","Cadena, Corona, Cruz / crucifijo, Rosario","Edad: adulto, Escena: simple, Género masculino, Personaje individual, Personajes: sagrados",Sin definir,Rostro 3/4,Cruz,"Personaje principal: No, Personaje secundario: No, Otros personajes: No",De pie,Cuerpo tres cuartos,Sin donante,Inscripción,2912x5248,RGB,2697.5,52.78,,,,,https://arca.uniandes.edu.co/obras/22068,Fotografía Jaime Borja,
24392,San Benito de Palermo,Anónimo,Óleo sobre tela,1700–1799,"Colección particular (Barcelona), Barcelona, España","Ciudad de México, México",Santoral franciscano,Devoción,"Santos, Santos Masculinos, Santos de órdenes y tradiciones, Santos Franciscanos, Benito de Palermo","Negro - negritud, Retrato simple","Aureola, Corazón flameante, Cruz / crucifijo","Edad: adulto, Escena: simple, Género masculino, Personaje individual, Personajes: sagrados",Terrestre / interior casa-habitación,Rostro 3/4,Cruz,"Personaje principal: Manos/brazos cruzadas pecho, Personaje secundario: No, Otros personajes: No",De pie,Cuerpo medio,Sin donante,Ninguna,487x577,RGB,49.2,97.17,,,,,https://arca.uniandes.edu.co/obras/24392,"La Suite subastas: https://es.bidspirit.com/ui/houses/suitesubastas, false?lang=es",
24430,San Francisco Solano,Anónimo,Óleo sobre tela,1700–1799,"Colección particular (Barcelona), Barcelona, España","Lima, Perú",Francisco Solano,Devoción,"Santos, Santos Masculinos, Santos de órdenes y tradiciones, Santos Franciscanos, Francisco Solano","Indígenas, Negro - negritud",Cruz / crucifijo,"Edad: adulto, Escena: simple, Género masculino/femenino, Personaje colectivo, Personajes: sagrados y profanos",Terrestre / paisaje,Rostro 3/4,Cruz,"Personaje principal: Señalar con dedo: mando, orden, traicionar; Personaje secundario: Dos brazos arriba: asevera, doble juramento; Otros personajes: Brazos cruzados:",De pie,Cuerpo entero,Sin donante,Ninguna,538x617,RGB,56.6,69.34,,,,,https://arca.uniandes.edu.co/obras/24430,"La Suite subastas: https://es.bidspirit.com/ui/houses/suitesubastas, false?lang=es",
24703,San Benito de Palermo,Anónimo,Óleo sobre tela,1700–1799,"Colección particular (Barcelona), Barcelona, España","San Juan, Puerto Rico",Santoral franciscano,Devoción,"Santos, Santos Masculinos, Santos de órdenes y tradiciones, Santos Franciscanos, Benito de Palermo","Negro - negritud, Retrato simple","Aureola, Corazón flameante, Cruz / crucifijo","Edad: adulto, Escena: simple, Género masculino, Personaje individual, Personajes: sagrados",Terrestre / paisaje,Rostro 3/4,Cruz,"Personaje principal: No, Personaje secundario: No, Otros personajes: No",De pie,Cuerpo entero,Sin donante,Ninguna,433x625,RGB,64.4,56.4,,,,,https://arca.uniandes.edu.co/obras/24703,"La Suite subastas: https://es.bidspirit.com/ui/houses/suitesubastas, false?lang=es",
26109,"Cuadro de castas: 19 Lobo, 20 China, 21 Negra, 22 Barsino, 23 Yndia, 24 Campa",Anónimo,Óleo sobre tela,1700–1799,"Banco Nacional México, Ciudad de México, México",Ciudad de México,"Castas,  pintura de",Paisaje,"Temas seculares, Castas, 20 campamulato - barsino mulato india","Negro - negritud, Retrato simple","Frutas / verduras, Niños, Palmera","Edad: adulto, Edad: niñez, Escena: simple, Género masculino/femenino, Personaje colectivo, Personaje: contacto corporal, Personajes: profanos, Presencia: niños",Terrestre / paisaje,Rostro 3/4,No,"Personaje principal: Acariciar cabeza: humor, afecto; Personaje secundario: Llevar de la mano: cuidar débiles; Otros personajes: No",De pie,Cuerpo entero,Sin donante,Ninguna,2600x2112,RGB,1020,69.8,,,,,https://arca.uniandes.edu.co/obras/26109,Fotografía Jaime Borja,
26110,"Cuadro de castas: 7. Yndio, 8. Zambago, 9. Barsina, 10. Coyote, 11.Yndio, 12. Mestiza",Anónimo,Óleo sobre tela,1700–1799,"Banco Nacional México, Ciudad de México, México",Ciudad de México,"Castas,  pintura de",Paisaje,"Temas seculares, Castas, 26 Veroina y zambago - español chamizo - castiza india","Negro - negritud, Retrato simple","Árbol, Cayado / Bastón, Flores","Edad: adulto, Edad: niñez, Escena: simple, Género masculino/femenino, Personaje colectivo, Personajes: profanos, Presencia: niños",Terrestre / paisaje,Rostro 3/4,No,"Personaje principal: Llevar de la mano: cuidar débiles, Personaje secundario: Entregar algo, Otros personajes: No",De pie,Cuerpo entero,Sin donante,Ninguna,2200x2048,RGB,619.6,53.75,,,,,https://arca.uniandes.edu.co/obras/26110,Fotografía Jaime Borja,
1364,Negros Bozales de Guinea. Yden.,Anónimo,Óleo sobre tela,1770,"Museo Nacional de Antropología (Antes Museo Nacional de Etnología), Madrid, España","Lima, Perú","Castas,  pintura de",Paisaje,"Temas seculares, Castas, Casta por razas y trajes","Negro - negritud, Telas","Cruz / crucifijo, Manto, Niños, Pobreza (mendigo)","Edad: adulto, Edad: niñez, Escena: simple, Género femenino, Género masculino, Personaje colectivo, Personaje: contacto corporal, Personajes: profanos, Presencia: niños",Sin definir,Rostro 3/4,No,"Personaje principal: Tomarse la mano a sí: Esperar, paciencia; Personaje secundario: No; Otros personajes: No",De pie,Cuerpo tres cuartos,Sin donante,Inscripción,3336x2640,RGB,3639.5,72.21,,,,,https://arca.uniandes.edu.co/obras/1364,"ESTENSSORO, Juan Carlos et al. Los cuadros de mestizaje del virrey Amat. La representación etnográfica en el Perú colonial. Lima: Museo de Arte de Lima, 2000.",
3377,De Negro y De India produce Lobo,Anónimo,Óleo sobre tela,1725,"Colección particular (Londres), Londres, Reino Unido","Ciudad de México, México","Castas,  pintura de",Paisaje,"Temas seculares, Castas, 12 lobo - india negra mulato","Indígenas, Negro - negritud, Sombrero","Cadena, Capa, Joyas, Niños","Edad: adulto, Edad: niñez, Escena: simple, Género femenino, Género masculino, Personaje colectivo, Personaje: contacto corporal, Personajes: profanos, Presencia: niños",Sin definir,Rostro 3/4,Desconocido,"Personaje principal: No; Personaje secundario: Tocar pie: humildad, sometimiento; Otros personajes: No",De pie,Cuerpo medio,Sin donante,Inscripción,1300x995,RGB,385.1,58.56,,,,,https://arca.uniandes.edu.co/obras/3377,"GARCÍA SAIZ, María Concepción. Las castas Mexicanas. Un género pictórico americano. Milan: Olivetti, 1989.",
3425,"De Negro, e Yndia, sale Lobo",José Joaquín Magón,Óleo sobre tela,1770,"Museo Nacional de Antropología (Antes Museo Nacional de Etnología), Madrid, España","Ciudad de México, México","Castas,  pintura de",Paisaje,"Temas seculares, Castas, 12 lobo - india negra mulato","Comida, Indígenas, Maíz, Negro - negritud, Paisaje, Sombrero","Canasta, Cielo / paraíso, Pájaro / aves, Trigo","Edad: adulto, Edad: niñez, Escena: simple, Género femenino, Género masculino, Personaje colectivo, Personaje: contacto corporal, Personajes: profanos, Presencia: animales",Terrestre / paisaje,Rostro 3/4,Vara / bastón,"Personaje principal: No, Personaje secundario: Entregar algo, Otros personajes: No",De pie,Cuerpo tres cuartos,Sin donante,Inscripción,1768x1380,RGB,981.7,57,,,,,https://arca.uniandes.edu.co/obras/3425,"GARCÍA SAIZ, María Concepción. Las castas Mexicanas. Un género pictórico americano. Milan: Olivetti, 1989.",
3441,"De Negro, e Yndia, Lovo, mala ralea. Herodes son de bolsas y faltriqueras",José Joaquín Magón,Óleo sobre tela,1754–1760,"Colección particular (CdMx), Ciudad de México, México",Ciudad de México,"Castas,  pintura de; Jesús ante Herodes",Paisaje,"Temas seculares, Castas, 12 lobo - india negra mulato","Comida, Cotidianidad, Habitación, Indígenas, Negro - negritud, Oficio / trabajo, Platos - Vajilla",Frutas / verduras,"Edad: adulto, Edad: niñez, Escena: simple, Género femenino, Género masculino, Personaje colectivo, Personaje: contacto corporal, Personajes: profanos, Presencia: niños",Terrestre / interior casa-habitación,Rostro 3/4,No,"Personaje principal: Manos abatidas: súplica, Personaje secundario: Palma frente abajo inclinada:, Otros personajes: No",De pie,Cuerpo tres cuartos,Sin donante,Inscripción,2000x1579,RGB,844.9,51.9,,,,,https://arca.uniandes.edu.co/obras/3441,"GARCÍA SAIZ, María Concepción. Las castas Mexicanas. Un género pictórico americano. Milan: Olivetti, 1989.",
3529,"De Negro i Española sale Mulato. Negro 1, Española 2, Mulato 3",Anónimo,Óleo sobre tela,1700–1799,"Colección particular (CdMx), Ciudad de México, México",Ciudad de México,"Castas,  pintura de",Paisaje,"Temas seculares, Castas, 05 mulato - español negra","Castillo, Colina / montaña, Familia, Juguetes, Naturaleza, Negro - negritud, Paisaje, Sombrero","Agua, Árbol, Capa, Joyas, Niños, Pájaro / aves, Perro","Edad: adulto, Edad: niñez, Escena: simple, Género femenino, Género masculino, Personaje colectivo, Personaje: contacto corporal, Personajes: profanos, Presencia: animales, Presencia: niños",Terrestre / paisaje,Rostro 3/4,Juguete / Juego,"Personaje principal: Manos entrelazadas:, Personaje secundario: No, Otros personajes: No",De pie,Cuerpo entero,Sin donante,Inscripción,1600x1333,RGB,621.2,69.76,,,,,https://arca.uniandes.edu.co/obras/3529,"GARCÍA SAIZ, María Concepción. Las castas Mexicanas. Un género pictórico americano. Milan: Olivetti, 1989.",
3592,"De Negro con pelo liso e Yndia, Gívara",José de Alfaro,Óleo sobre tela,1787,"Colección particular (CdMx), Ciudad de México, México",Ciudad de México,"Castas,  pintura de",Paisaje,"Temas seculares, Castas, 27 Gibaro - campamulato india","Comercio, Cotidianidad, Familia, Indígenas, Negro - negritud, Platos - Vajilla, Tambor","Canasta, Ciudad, Instrumentos musicales, Niños, Pobreza (mendigo), Vasija","Edad: adulto, Edad: niñez, Escena: simple, Género femenino, Género masculino, Personaje colectivo, Personajes: profanos, Presencia: niños",Terrestre / ciudad - poblado,Rostro 3/4,Instrumento musical,"Personaje principal: No, Personaje secundario: No, Otros personajes: No",De pie,Cuerpo entero,Sin donante,Inscripción,1600x1248,RGB,629.6,60.12,,,,,https://arca.uniandes.edu.co/obras/3592,"GARCÍA SAIZ, María Concepción. Las castas Mexicanas. Un género pictórico americano. Milan: Olivetti, 1989.",
3596,De Negro y Español produce Mulato,Anónimo,Óleo sobre tela,1700–1799,"Museum für Völkerkunde - Museo Etnográfico, Viena, Austria","Ciudad de México, México","Castas,  pintura de",Paisaje,"Temas seculares, Castas, 05 mulato - español negra","Negro - negritud, Paisaje, Sombrero","Anillo, Árbol, Joyas, Manto, Niños","Edad: adulto, Edad: niñez, Escena: simple, Género femenino, Género masculino, Personaje colectivo, Personajes: profanos, Presencia: niños",Terrestre / paisaje,Rostro 3/4,No,"Personaje principal: Indice arriba: amenaza, denuncia; Personaje secundario: Compuesto: dos abiertas al frente; Otros personajes: No",De pie Alzando,Cuerpo tres cuartos,Sin donante,Inscripción,1600x1183,RGB,540.9,65.33,,,,,https://arca.uniandes.edu.co/obras/3596,"GARCÍA SAIZ, María Concepción. Las castas Mexicanas. Un género pictórico americano. Milan: Olivetti, 1989.",
4207,"De Negro, y Yndia Lovo",Anónimo,Óleo sobre lámina / cobre / zinc,1700–1799,"Colección particular (CdMx), Ciudad de México, México",Ciudad de México,"Castas,  pintura de",Paisaje,"Temas seculares, Castas, 12 lobo - india negra mulato","Indígenas, Negro - negritud, Paisaje, Peces, Platos - Vajilla, Sombrero","Agua, Árbol, Arco y carcaj, Canasta, Cayado / Bastón, Ciudad, Columna, Niños","Edad: adulto, Edad: niñez, Escena: simple, Género femenino, Género masculino, Personaje colectivo, Personajes: profanos, Presencia: animales, Presencia: niños",Terrestre / ciudad - poblado,Rostro 3/4,No,"Personaje principal: Compuesto: palma frente - lado abajo, Personaje secundario: No, Otros personajes: No",De pie,Cuerpo tres cuartos,Sin donante,Inscripción,1428x852,RGB,386.2,58.95,,,,,https://arca.uniandes.edu.co/obras/4207,"GARCÍA SAIZ, María Concepción. Las castas Mexicanas. Un género pictórico americano. Milan: Olivetti, 1989.",
